,Tot. Score
0,-134.17393608418212
1,-69.47230073491872
2,-96.73589780272422
3,-90.11992388381978
4,-436.8290271966405
5,-115.34925376832382
6,-468.0091956056733
7,-269.0913065704003
8,-206.2743420245688
9,-298.62093314974584
10,-511.2461056302482
11,-206.1485105050169
12,-100.88597179083831
13,-128.7507926392996
14,-183.06098124911964
15,-89.80692678830958
16,-120.03353616906567
17,-206.1576260383398
18,-156.310401691862
19,-125.12716336603981
20,-111.67122461776488
21,-83.76237450539709
22,-41.37408183981914
23,-60.33221304019159
24,-79.321019979232
25,-106.57452950314378
26,-94.69472783644414
27,-175.29711508775154
28,-64.58094690813179
29,-129.70067911480504
30,-43.14203734885773
31,-167.9397546497567
32,-169.5308576811961
33,-111.84480796541064
34,-173.49975037932433
35,-37.27545819350651
36,-109.22764009461935
37,-86.41828196631351
38,-192.44243926405863
39,-110.99005300309554
40,-122.26315787318447
41,-73.89512061394731
42,-136.94502851779453
43,-15.010011247582526
44,-100.72208003587131
45,-76.04360940829913
46,-104.26674753915758
47,-135.4047191017994
48,-114.24917427985484
49,-88.61419403267956
